Year,FDI_Billion_USD,Inflation_Rate,Armed_Forces_Personnel,Military_Expenditure_Percent_GDP,Trade_Balance_Billion_USD,Agriculture_Share,Industry_Share,Services_Share,GDP_Billion_USD,GDP_Growth_Rate,Unemployment_Rate,Major_Event,War_Conflict_Indicator,PKR_per_USD,log_fx,time_idx
1977,0.0152232040146095,10.1329676874055,398284.6153846154,5.5474116781158,-1.2878787878787898,29.3613270294094,20.7675561610172,40.6783396105457,15.1260606060606,3.94769828741323,2.0387284488723627,,0,9.99,2.301584592660462,30
1978,0.0322731925109724,6.13869266742743,408849.0384615384,5.50329966329966,-1.61323232323232,28.6768291991335,20.6426440731793,41.3266868556263,17.811515151515202,8.04853361937855,1.935676416810051,,0,9.99,2.301584592660462,31
1979,0.0582541273625727,8.26704697617572,419413.4615384615,5.45327429503612,-2.12121212121212,27.7798014519149,21.4821845419798,41.9798373650053,19.6883838383838,3.75843556852186,1.8326243847477397,,0,9.99,2.301584592660462,32
1980,0.0636329927810683,11.9382309107087,429977.8846153846,5.52324446699715,-2.53464646464646,26.5455057883072,22.3051597282421,40.9323637046874,23.6544444444444,10.2157040372755,1.7295723526854276,Soviet-Afghan War spillover begins,1,9.99,2.301584592660462,33
1981,0.108084748503728,11.8799135925283,440542.3076923077,5.71087057573544,-2.66888888888889,27.4622927720025,20.1343656990036,41.4883751024458,28.100606060606097,7.92076357199696,1.6265203206231162,Afghan War Spillover,1,9.99,2.301584592660462,34
1982,0.0638330916241583,5.90352878435863,451106.7307692308,6.37571708663133,-3.36189573459716,28.447767916362,20.0580579283623,41.620624446645,30.725971563981,6.53748679998847,1.5234682885608049,Afghan War Spillover,1,9.99,2.301584592660462,35
1983,0.0294570266648158,6.362033499853,461671.1538461538,6.64379805914383,-2.96244094488189,27.2732012942284,19.8942333288509,42.9598201911704,28.6918897637795,6.77837833870171,1.420416256498493,Afghan War Spillover,1,9.99,2.301584592660462,36
1984,0.0555101697116457,6.08716673573716,472235.5769230769,6.65949145701601,-3.29378153754823,24.9045978818586,20.2435910262457,44.0245639611055,31.1518254674978,5.06520560476402,1.3173642244361812,Afghan War Spillover,1,9.99,2.301584592660462,37
1985,0.131389252246715,5.61483921793224,482800.0,6.92213359819193,-3.74934036939314,25.6891245920319,20.2297117272433,44.1071507994163,31.144920844327203,7.59211469875896,1.2143121923738698,Soviet-Afghan War ongoing,1,11.85,2.47232786758114,38
1986,0.1057303318208709,3.50641424758205,492100.0,6.99165601052428,-2.49268443893366,25.032651030451,21.1557298671414,44.4413564170936,31.8990700557967,5.50165366386253,1.1112601603115584,Afghan War Spillover,1,13.12,2.574137783515943,39
1987,0.12937764359248,4.68121854620213,501400.0,6.97188008366256,-1.76038450334984,23.6354521301218,21.6301383980897,44.7693277832025,33.351529274686904,6.45234302466982,1.0082081282492463,Afghan War Spillover,1,14.05,2.642622395779755,40
1988,0.18649155733337,8.83793701817773,510700.0,6.78581073127497,-2.1416120763315303,23.1533234920912,21.6952008398123,44.1409321146776,38.4727428083167,7.62527877959378,0.9051560961869348,Afghan War Spillover,1,15.93,2.768204123921957,41
1989,0.21059991711983,7.84426473740044,520000.0,6.53272525576236,-2.52185901658406,23.9136337358476,21.2080624102787,43.6269154070504,40.1711062790078,4.95976889440439,0.8021040641246233,Afghan War Spillover,1,16.65,2.8124102164264526,42
1990,0.245262963460759,9.05213155279776,550000.0,6.52232023523122,-2.18342448464451,23.0670733915693,22.3442448854655,43.3622332328204,40.0104239704576,4.45858681510218,0.6990520320623119,,0,20.54,3.0223742045004123,43
1991,0.258414487035347,11.7912703351416,565000.0,6.57095278815428,-0.709414528491248,22.8424456202234,22.9309229864785,43.2305506564766,45.6253366802047,5.06156775897861,0.596,,0,21.71,3.0777729838902004,44
1992,0.336479857130617,9.5090414619015,580000.0,6.69818754925138,-1.54137530983577,23.3100129190967,22.644989000194,43.0293424468687,48.8846719474657,7.70589781716029,0.587,,0,23.8,3.169685580677429,45
1993,0.348556957814185,9.97366476029209,580000.0,6.42731262310377,-3.1578855906554,22.1979399670103,22.5926839685189,44.6624961147978,51.8099993531614,1.7577476978468,0.596,,0,25.08,3.22207071576472,46
1994,0.421024638454287,12.3681943936948,580000.0,5.92354829296761,-1.43334446287845,22.7528245238533,22.3704577657958,44.6905054170213,52.2934708131336,3.73741555767747,0.601,,0,28.11,3.3361253849184407,47
1995,0.722631560660743,12.3435785170513,846000.0,5.82022528285793,-1.64494406121055,23.4218793711634,21.3232921847751,44.8607712433853,60.636071684191805,4.96260914623281,0.611,,0,30.57,3.420019135902743,48
1996,0.92197618251983,10.3738085885002,835000.0,6.03716630506556,-2.86455591767556,23.1957958147755,21.9943844205166,45.8349861072658,63.3201700844076,4.84658128681654,0.6,,0,31.64,3.4544221428994533,49
1997,0.7162531254409079,11.3754928865122,834000.0,5.6212164889017,-2.92709954305849,24.4842507882018,21.5572792952471,45.65097071546,62.4333404680228,1.01439601077892,0.611,,0,36.08,3.585738695194423,50
1998,0.506,6.22800415424543,834000.0,5.4150950442544,-0.648129007982868,25.3031382672009,22.0530195066132,45.2951760793769,62.1919558143478,2.55023429817393,0.62,Nuclear Tests & Sanctions,1,41.11,3.716251400909787,51
1999,0.532,4.14263718082171,834000.0,5.18989926490607,-1.01574574136355,25.169285514224,22.103173212169,45.8381645117937,62.9738570685113,3.66013273943236,0.625,Kargil War,1,45.05,3.807772984054347,52
2000,0.308,4.36666451291681,900000.0,4.16872271381496,-2.18937443827011,25.3871360412975,17.1836347813683,52.0643007395217,99.4848023445277,4.2600880111325,0.614,,0,51.9,3.949318790171843,53
2001,0.378,3.14826144590618,908000.0,3.87893394479455,-2.25850223290965,24.1449605032819,17.5934942779914,52.9646825407125,97.1456184799038,3.65135017083765,0.611,Start of War on Terror,1,51.9,3.949318790171843,54
2002,0.826,3.29034472613153,909000.0,4.07377016787657,-0.590557973367977,22.7026275435674,17.1588876671988,54.8446407777793,97.9233028093537,2.59481668445784,0.615,War on Terror Impact,1,63.5,4.151039905898646,55
2003,0.534,2.91413470059479,909000.0,4.09142718735613,-0.3605685504524499,22.1519373367714,17.3885833649452,54.9424968082035,112.371913740823,5.40131087314342,0.612,War on Terror Impact,1,60.5,4.102643365036796,56
2004,1.118,7.44462469342739,921000.0,3.95603411669147,-2.5946,22.0018900085347,18.9071452885794,53.6616637238921,132.216048339413,7.83125556961251,0.598,War on Terror Impact,1,57.75,4.056123349401903,57
2005,2.201,9.06332737030417,921000.0,3.89701939256291,-7.804685162472881,21.5745096992331,19.9330293059047,53.756287210192,145.208562960767,7.2765744364722,0.583,Kashmir Earthquake,1,57.8,4.056988775678332,58
2006,4.273,7.92108440058789,923000.0,3.64525520437771,-12.8717311040052,20.4183460540925,20.199119664936,54.2181198042166,161.87138550636,6.05163767569996,0.582,War on Terror Impact,1,59.7,4.089332020398556,59
2007,5.59,7.59868441050774,921000.0,3.51198610011098,-13.8800384931276,19.9379514329097,19.9449553163591,55.6028992421704,184.14086999746,4.4448143398844,0.398,War on Terror Impact,1,60.4,4.100989104940769,60
2008,5.438,20.2861210929554,921000.0,3.45937100362745,-21.4281990199292,20.351365282755,21.1955484525846,56.2192386662406,202.203748583854,2.1204410433083,0.423,Global Financial Crisis & WoT,1,60.83,4.108083088332614,61
2009,2.338,13.6477650639761,921000.0,3.26522399322955,-16.0078466667431,21.7869229749534,20.3372467582902,53.4051714905599,187.337783856466,3.47255059567348,0.535,War on Terror Impact,1,81.1,4.395682961121367,62
2010,2.022,12.9388705634889,946000.0,3.04189326480607,-13.2081716728549,22.6888101741789,20.9650197800876,52.5995937357421,196.709621849586,1.50171752152883,0.653,Major Floods,1,84.1,4.432006566978902,63
2011,1.326,11.9160927116277,946000.0,2.91924318438144,-12.4459765490852,23.819642978628,21.1864809532945,51.8065797217263,230.586581059665,2.68011685421705,0.796,War on Terror Impact,1,85.75,4.45143608604605,64
2012,0.859,9.68235186055684,947800.0,3.09577353673779,-18.935710905302106,23.3861955340345,21.9583720724829,51.5898687341456,250.106966104704,3.02758391088629,3.667,War on Terror Impact,1,88.6,4.484131857611035,65
2013,1.333,7.69215611899565,947800.0,3.08802003540329,-16.9039638079813,23.7075945934908,20.8910295084645,51.878053333919,258.657231672412,4.36686504978387,2.954,War on Terror Impact,1,96.5,4.56954300834494,66
2014,1.887,7.18938402847028,925800.0,3.09657969704779,-19.2141259359735,23.4927320097855,20.8659912298838,51.5633070162566,271.390474857632,4.11642817161422,1.827,War on Terror Impact,1,107.2,4.674696248636701,67
2015,1.673,2.52932817254229,935800.0,3.16298664508296,-20.2146786943083,23.2628407756242,19.602614668814,52.6865814332807,299.963590534773,4.21794209572506,3.566,,0,103.0,4.634728988229636,68
2016,2.576,3.7651191635658,935800.0,3.20377671550622,-22.6696320063244,22.3283302035697,18.1501179723214,52.747401539414,313.630000130435,6.57383828511043,2.285,,0,105.2,4.65586330030361,69
2017,2.496,4.08537368032608,936000.0,3.36444910317801,-30.6262311027766,21.9632035366872,18.0993270885214,53.249254299638,339.2055348611,4.43262590683975,3.204,,0,104.6,4.650143551630823,70
2018,1.737,5.07805725868917,944800.0,3.58696176378502,-37.2597593994074,21.6512353593957,18.5890515927482,52.9323158239348,356.128166704921,6.15170261099519,4.083,,0,110.01,4.700571270751344,71
2019,2.234,10.5783618004555,943000.0,3.50584031595126,-32.4883933686633,20.6778713222887,19.5638945814483,53.6204826290348,320.909472770669,2.49763692943365,4.83,,0,163.75,5.098340874515361,72
2020,2.057,9.73999313898155,943000.0,3.48667909020303,-24.3920414945243,21.8541325548966,18.5894635445816,53.680280706041,300.425609817981,-1.27408744338709,5.994,COVID-19 Pandemic,0,163.75,5.098340874515361,73
2021,2.147,9.49621056124947,943000.0,3.38923879613996,-31.1128500671021,22.6625080760743,18.8964082009484,52.0255067386808,348.516647445148,6.51388575852702,6.338,,0,168.88,5.129188403540065,74
2022,1.462,19.8738599646655,943000.0,3.17683202352522,-44.800038644293295,22.3268646996031,20.4125955543613,52.2312939861803,374.890295666694,4.7781068690358,5.291,Political Crisis & Major Floods,0,179.16,5.188279261339099,75
2023,2.048,30.7681280657005,943000.0,2.88079974069692,-25.1833814820892,23.426703596366,20.718694602313,50.9693352713894,336.686348609266,-0.414935997088406,5.237,,0,225.4,5.417876601605676,76
2024,2.663,12.6325318530452,943000.0,2.66760037007452,-25.2577039977138,23.7432862338836,20.2457551236068,50.7319389342379,371.570000121266,3.04898287335465,5.492,,0,277.94,5.627405263058436,77
2025,2.663,12.6325318530452,943000.0,2.66760037007452,-25.2577039977138,23.7432862338836,20.2457551236068,50.7319389342379,371.570000121266,3.04898287335465,5.492,,0,,,78
